Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,No_of_neighbors,Our_test_score
GPJA,KNN,0,0,-1,-1,-1,10,-1,-1,-1
 GPJA,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,10,-1,-1,-1
 GPJA,ZR,0,0,0,0,-1,10,-1,-1,-1
 GPJA,KNN,0,0,-1,-1,-1,20,-1,-1,-1
 GPJA,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,20,-1,-1,-1
 GPJA,ZR,0,0,0,0,-1,20,-1,-1,-1
 GPJA,KNN,0,0,-1,-1,-1,30,-1,-1,-1
 GPJA,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,30,-1,-1,-1
 GPJA,ZR,0,0,0,0,-1,30,-1,-1,-1
 GPJA,KNN,0,0,-1,-1,-1,40,-1,-1,-1
 GPJA,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,40,-1,-1,-1
 GPJA,ZR,0,0,0,0,-1,40,-1,-1,-1
 GPJA,KNN,0,0,-1,-1,-1,50,-1,-1,-1
 GPJA,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,50,-1,-1,-1
 GPJA,ZR,0,0,0,0,-1,50,-1,-1,-1
 GPJA,KNN,0,0,-1,-1,-1,60,-1,-1,-1
 GPJA,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,60,-1,-1,-1
 GPJA,ZR,0,0,0,0,-1,60,-1,-1,-1
 GPJA,KNN,0,0,-1,-1,-1,70,-1,-1,-1
 GPJA,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,70,-1,-1,-1
 GPJA,ZR,0,0,0,0,-1,70,-1,-1,-1
 GPJA,KNN,0,0,-1,-1,-1,80,-1,-1,-1
 GPJA,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,80,-1,-1,-1
 GPJA,ZR,0,0,0,0,-1,80,-1,-1,-1
 GPJA,KNN,0,0,-1,-1,-1,90,-1,-1,-1
 GPJA,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,90,-1,-1,-1
 GPJA,ZR,0,0,0,0,-1,90,-1,-1,-1
 GPJA,KNN,0,0,-1,-1,-1,100,-1,-1,-1
 GPJA,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,100,-1,-1,-1
 GPJA,ZR,0,0,0,0,-1,100,-1,-1,-1
